region;personas_hogar;meses_en_chile;mayores_15;sexo_seleccionado;edad_seleccionado;nacionalidad_seleccionado;barrio;P1;P2;P3;P5_pais;P6;P8;P15;P24;I_1_P58;I_2_P58;I_3_P58;I_4_P58;I_5_P58;I_6_P58;I_7_P58;I_1_P75;I_2_P75;I_3_P75;I_4_P75;I_5_P75;I_6_P75;I_7_P75;I_8_P75;I_9_P75;I_10_P75;I_11_P75;P76;P77;P77_cod_O1;P77_cod_O2;P77_cod_O3;P78;P79;P80;P80_cod_O1;P80_cod_O2;P81;I_1_P82;I_2_P82;I_3_P82;I_4_P82;I_5_P82;I_6_P82;I_7_P82;I_8_P82
2;7;Sí;2;Mujer;19;Extranjero;Barrios de Antofagasta y Calama;Padre/Madre;Mujer;19;Bolivia; ;Otra nacionalidad (extranjeros);Soltero/a;8;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;No sabe [NO LEER];En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo
2;5;Sí;2;Mujer;36;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;36;Bolivia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);5;De acuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;2;Sí;1;Hombre;31;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;31;Bolivia; ;Chilena y otra (doble nacionalidad);Soltero/a;5;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No responde [NO LEER];No responde [NO LEER];De acuerdo;Muy de acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;NR [NO LEER];Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo
2;5;Sí;2;Hombre;16;Extranjero;Barrios de Antofagasta y Calama;Hijo(a);Hombre;16;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;5;De acuerdo;De acuerdo;No sabe [NO LEER];No sabe [NO LEER];De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Muy de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;4;Sí;3;Mujer;18;Extranjero;Barrios de Antofagasta y Calama;Hijo(a);Mujer;18;Colombia; ;Otra nacionalidad (extranjeros);Soltero/a;Totalmente satisfecho;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo
2;2;Sí;1;Mujer;27;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;27;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;5;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;No sabe [NO LEER];De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;1;Sí;1;Hombre;48;Chileno;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;48; ;Más de 5 años;Chilena (exclusivamente);Soltero/a;Totalmente satisfecho;De acuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;4;Sí;2;Mujer;32;Chileno;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Mujer;38; ; ;Chilena (exclusivamente);Conviviendo o en pareja (no casado/a tampoco unión civil);7;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo
2;3;Sí;2;Mujer;43;Extranjero;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Mujer;43;Colombia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);Totalmente satisfecho;Muy de acuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Muy de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo
2;3;Sí;3;Hombre;40;Extranjero;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Hombre;40;Bolivia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);8;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;2;Sí;2;Mujer;26;Extranjero;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Mujer;26;Colombia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);8;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Nada de acuerdo;Nada de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Nada de acuerdo
2;2;Sí;1;Mujer;29;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;29;Bolivia; ;Otra nacionalidad (extranjeros);Soltero/a;3;Muy de acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo
2;5;Sí;2;Mujer;33;Extranjero;Barrios de Antofagasta y Calama;Esposo(a) o cónyuge;Mujer;33;Bolivia; ;Otra nacionalidad (extranjeros);Casado/a;Totalmente satisfecho;Muy de acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;2;Sí;2;Mujer;27;Extranjero;Barrios de Antofagasta y Calama;Hijo(a);Mujer;27;Colombia; ;Chilena y otra (doble nacionalidad);Soltero/a;7;Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Poco de acuerdo
2;2;Sí;2;Hombre;42;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;42;Colombia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);8;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Sí;control de identidad;Control de identidad (control preventivo); ; ;Muy satisfecho;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Nada de acuerdo;Muy de acuerdo;Muy de acuerdo;Poco de acuerdo;Muy de acuerdo;Poco de acuerdo
2;5;Sí;2;Hombre;32;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;33;Colombia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);7;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Sí;en el trabajo un hombre le dijo a la ñolicia que le habian robado y ud paso por ahi y le preguntaron;Testigo de un delito;Control de identidad (control preventivo); ;Satisfecho;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;3;Sí;1;Mujer;34;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;34;Colombia; ;Chilena y otra (doble nacionalidad);Soltero/a;5;Muy de acuerdo;De acuerdo;Muy en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Sí;por que intentaron robar en su hogar;Control de extranjería o Policía Internacional (Aeropuerto o control fronteriz; ; ;Ni satisfecho ni insatisfecho;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;NR [NO LEER];Muy de acuerdo;Muy de acuerdo;Nada de acuerdo;Muy de acuerdo;Poco de acuerdo
2;4;Sí;4;Mujer;45;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;45;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;7;Muy de acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Nada de acuerdo;Poco de acuerdo;Poco de acuerdo;Muy de acuerdo
2;3;Sí;2;Hombre;42;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;38; ;Entre 2 y 5 años;Otra nacionalidad (extranjeros);Soltero/a;8;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;No sabe [NO LEER];De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;3;Sí;2;Mujer;41;Chileno;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Mujer;41; ;Más de 5 años;Chilena (exclusivamente);Conviviendo o en pareja (no casado/a tampoco unión civil);4;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;6;Sí;4;Mujer;21;Extranjero;Barrios de Antofagasta y Calama;Cuñado(a);Mujer;1;Bolivia; ;Otra nacionalidad (extranjeros);Soltero/a;6;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;No sabe [NO LEER];En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;3;Sí;2;Mujer;20;Extranjero;Barrios de Antofagasta y Calama;No pariente;Mujer;20;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;6;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;2;Sí;2;Mujer;17;Chileno;Barrios de Antofagasta y Calama;Hermano(a);Mujer;17; ; ;Chilena (exclusivamente);Soltero/a;Totalmente satisfecho;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;No sabe [NO LEER];De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Poco de acuerdo;Poco de acuerdo;Muy de acuerdo;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo
2;3;Sí;1;Mujer;61;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;61;Perú; ;Otra nacionalidad (extranjeros);Separado/a;8;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;5;Sí;3;Mujer;28;Extranjero;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Mujer;28;Bolivia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);6;Muy de acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Nada de acuerdo;Nada de acuerdo;Nada de acuerdo;Poco de acuerdo;Nada de acuerdo;Nada de acuerdo;Nada de acuerdo
2;5;Sí;2;Mujer;22;Extranjero;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Mujer;22;Perú; ;Chilena y otra (doble nacionalidad);Conviviendo o en pareja (no casado/a tampoco unión civil);6;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;No responde [NO LEER];No responde [NO LEER];De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;3;Sí;1;Hombre;55;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;55;Colombia; ;Otra nacionalidad (extranjeros);Casado/a;9;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;De acuerdo;No responde [NO LEER];No responde [NO LEER];No responde [NO LEER];De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Nada de acuerdo;Nada de acuerdo;Bastante de acuerdo;Poco de acuerdo;Nada de acuerdo;Nada de acuerdo
2;4;Sí;2;Mujer;26;Extranjero;Barrios de Antofagasta y Calama;Esposo(a) o cónyuge;Mujer;26;Ecuador; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja bajo el acuerdo de unión civil;Totalmente satisfecho;De acuerdo;De acuerdo;No sabe [NO LEER];No sabe [NO LEER];Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;No sabe [NO LEER];Muy de acuerdo;Muy de acuerdo;No sabe [NO LEER];En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;No sabe [NO LEER];No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo
2;6;Sí;5;Hombre;21;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;21;Colombia; ;Otra nacionalidad (extranjeros);Soltero/a;Totalmente insatisfecho;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;No sabe [NO LEER];De acuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Muy de acuerdo;Bastante de acuerdo;Muy de acuerdo;Nada de acuerdo;Bastante de acuerdo;Muy de acuerdo
2;5;Sí;3;Hombre;40;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;40;Perú; ;Otra nacionalidad (extranjeros);Casado/a;9;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Sí;Control identidad;Control de identidad (control preventivo); ; ;Satisfecho;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Nada de acuerdo
2;3;Sí;1;Mujer;48;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;48;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;5;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No sabe [NO LEER];De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;NS [NO LEER];Bastante de acuerdo;Muy de acuerdo;Muy de acuerdo
2;3;Sí;1;Mujer;27;Chileno;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;27; ;Más de 5 años;Chilena (exclusivamente);Soltero/a;5;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Nada de acuerdo;Nada de acuerdo;Muy de acuerdo
2;1;Sí;1;Hombre;28;Chileno;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Hombre;28; ; ;Chilena (exclusivamente);Anulado/a;6;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo
2;3;Sí;1;Mujer;60;Chileno;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;60; ;Más de 5 años;Chilena (exclusivamente);Divorciado/a;6;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Poco de acuerdo;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Muy de acuerdo;Poco de acuerdo;Nada de acuerdo;Bastante de acuerdo
2;2;Sí;2;Mujer;45;Extranjero;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Mujer;45;Bolivia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);8;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;No responde [NO LEER];No responde [NO LEER];De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;5;Sí;3;Hombre;32;Extranjero;Barrios de Antofagasta y Calama;No pariente;Hombre;32;Colombia; ;Chilena y otra (doble nacionalidad);Soltero/a;7;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
2;5;Sí;2;Mujer;23;Extranjero;Barrios de Antofagasta y Calama;Conviviente de hecho o pareja;Mujer;23;Colombia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);8;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;No responde [NO LEER];Muy de acuerdo;Muy en desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Bastante de acuerdo
2;3;Sí;3;Mujer;51;Extranjero;Barrios de Antofagasta y Calama;Jefe(a) de Hogar;Mujer;51;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;9;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;No; ; ; ; ; ;Sí;control;Control de identidad (control preventivo); ;Satisfecho;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
